customer_id,age,employment_type,employer_type,monthly_income,employment_tenure_months,residence_type,city_tier,marital_status,dependents,bureau_score,active_loans,closed_loans,unsecured_loans,credit_utilization_ratio,max_dpd_last_12m,inquiries_last_3m,oldest_trade_line_months,credit_cards_active,monthly_salary_credit,salary_credit_consistency_6m,average_monthly_balance_6m,cheque_bounces_6m,cash_deposits_6m,banking_stability_index,emi_obligation_amount,desired_amount,loan_type,dti_ratio,net_disposable_income,g5_score,g6_score,decision_status,eligible_amount,interest_rate
CUST-000001,38,SALARIED,MNC,74688,141,RENTED,TIER_2,MARRIED,0,750,3,4,0,0.2486,0,1,6,2,77679,0.9271,64444,0,5,0.8736,27787,113013,PERSONAL,0.372,46901,0.7425,0.8141,APPROVED,113013,0.12
CUST-000002,33,SALARIED,PRIVATE,71257,105,OWNED,TIER_2,MARRIED,3,704,3,5,1,0.2318,76,3,57,1,68058,0.928,45761,0,3,0.9049,10676,213593,PERSONAL,0.1498,60581,0.7393,0.6646,APPROVED,213593,0.155
CUST-000003,40,SALARIED,MNC,49088,129,OWNED,TIER_2,MARRIED,3,656,2,3,2,0.2185,0,1,75,1,50192,0.9625,27260,0,3,0.9169,18699,210307,PERSONAL,0.3809,30389,0.6795,0.5775,REJECTED,0,0.0
CUST-000004,47,PROFESSIONAL,N/A,65612,196,RENTED,TIER_1,MARRIED,2,706,1,2,1,0.17,0,1,64,2,62484,0.9218,58281,0,3,0.8777,25915,202634,PERSONAL,0.395,39697,0.8007,0.5752,APPROVED,202634,0.155
CUST-000005,33,SALARIED,PRIVATE,50517,88,RENTED,TIER_1,DIVORCED,4,706,0,5,0,0.5475,8,2,48,1,48872,0.9344,18926,0,6,0.7805,0,111663,PERSONAL,0.0,50517,0.7217,0.6276,APPROVED,111663,0.155
CUST-000006,33,SALARIED,PRIVATE,70542,84,OWNED,TIER_2,MARRIED,0,791,1,5,1,0.3767,0,3,35,2,73981,0.9062,38060,0,4,0.7989,8307,112046,PERSONAL,0.1178,62235,0.7625,0.6852,APPROVED,112046,0.12
CUST-000007,47,SALARIED,GOVERNMENT,54172,221,OWNED,TIER_2,SINGLE,1,676,1,2,1,0.3397,0,2,30,1,53418,0.9324,35892,0,3,0.7967,19854,160166,PERSONAL,0.3665,34318,0.7222,0.5658,REJECTED,0,0.0
CUST-000008,41,SALARIED,PRIVATE,35861,154,OWNED,TIER_3,SINGLE,2,691,1,2,1,0.2249,0,0,66,3,37010,0.9088,20334,0,3,0.7403,3408,132223,PERSONAL,0.095,32453,0.6393,0.668,REJECTED,0,0.0
CUST-000009,31,SALARIED,MNC,37172,62,RENTED,TIER_3,DIVORCED,2,747,2,1,0,0.271,30,1,65,2,36711,0.8354,10000,0,3,0.7493,14589,233860,PERSONAL,0.3925,22583,0.6635,0.6702,APPROVED,156122,0.135
CUST-000010,39,SALARIED,MNC,35318,143,RENTED,TIER_3,SINGLE,1,662,3,2,2,0.5096,10,5,61,1,36518,0.9641,24268,0,3,0.869,30992,130577,PERSONAL,0.55,4326,0.6959,0.5505,REJECTED,0,0.0
